date,time,demand,prediction
2021-08-04,0:00:38,22190,21615.346
2021-08-04,0:20:41,21987,21615.346
2021-08-04,0:40:39,22003,21615.346
2021-08-04,1:00:38,21567,21615.346
2021-08-04,1:20:38,21728,21615.346
2021-08-04,1:40:40,21580,21615.346
2021-08-04,2:00:48,21181,21615.346
2021-08-04,2:20:36,21329,21615.346
2021-08-04,2:40:37,21298,21615.346
2021-08-04,3:00:40,21340,21615.346
2021-08-04,3:20:36,21353,21615.346
2021-08-04,3:40:38,21335,21615.346
2021-08-04,4:00:37,21330,21615.346
2021-08-04,4:20:36,21746,21615.346
2021-08-04,4:40:38,21782,21615.346
2021-08-04,5:00:37,21955,21615.346
2021-08-04,5:20:39,22781,21615.346
2021-08-04,5:40:40,23709,21615.346
2021-08-04,6:00:38,24817,25183.26
2021-08-04,6:20:38,26149,25183.26
2021-08-04,6:40:36,26757,25183.26
2021-08-04,7:00:39,27350,28738.459
2021-08-04,7:20:36,28341,28738.459
2021-08-04,7:40:37,28556,28738.459
2021-08-04,8:00:37,28556,28553.025
2021-08-04,8:20:37,28491,28553.025
2021-08-04,8:40:37,27989,28553.025
2021-08-04,9:00:37,27735,28553.025
2021-08-04,9:20:38,27540,28553.025
2021-08-04,9:40:39,27164,28553.025
2021-08-04,10:00:40,27049,28553.025
